Category_No,Emojis,Category
1,"['🙏', '👍', '🙌', '🤘', '💪', '👦', '🤦', '🤲', '👇', '👈', '💂', '👌', '👉', '🙋', '🤷', '👆', '👫', '🙇', '👥', '👏', '👊', '🎅', '👧', '👀', '🤟', '🤙', '✋', '✊', '👰', '🖕', '👩', '👎', '🧑', '💁', '🙆', '🤱', '💑', '👸', '👨', '👋', '👬', '👷', '🧒', '🤝', '👭', '🤾', '💃', '🤰', '👤', '🙅', '👣', '🧕', '👅', '🤞', '🚶', '🧠', '👴', '🧙', '🏃', '🧔', '👐', '🤏', '👮', '🕺', '👳', '💏', '🧘', '🧓', '👱', '🦶', '🧚', '🏂', '👂', '💆', '💇', '🏊', '🤴', '🤵', '👃', '🙎', '🤺', '👪', '🤚', '🤜', '👵', '🛌', '🤸', '👄', '🏇', '🤶', '💅', '🤳', '🖖', '🤼', '🤹', '👶', '🧗', '🏄', '🧏', '🧍', '🧛', '🦹', '🤛', '👲', '🫁', '🙍']",People & Body
0,"['😂', '😜', '😄', '😑', '🤗', '😠', '😢', '🤣', '😣', '😀', '💖', '😘', '😍', '😌', '💕', '🙄', '😒', '😐', '😁', '🙈', '😃', '😊', '😡', '😕', '💔', '😭', '💞', '😏', '😪', '😋', '😎', '💯', '😬', '😷', '🤪', '😳', '😫', '😔', '🤔', '💫', '💙', '😿', '😉', '😛', '🥵', '😞', '😟', '🤧', '🥺', '😥', '😝', '🤬', '😤', '😖', '😆', '😧', '💀', '😴', '🤮', '🙊', '🤭', '😨', '😓', '🤑', '😅', '🙂', '😹', '🤫', '🤓', '🖤', '💦', '🥴', '😶', '🤥', '🥶', '🤕', '💝', '🥳', '😱', '🤐', '🧐', '😩', '🙉', '🥲', '😲', '🙃', '💜', '💟', '😈', '🤩', '😇', '😰', '👻', '🤯', '😚', '💭', '🥰', '🤢', '😗', '💓', '🤨', '😮', '🤤', '💛', '💥', '🧡', '🙁', '💚', '😙', '🥸', '💋', '💘', '🤒', '👿', '👺', '🥱', '😯', '💗', '😵', '💬', '😸', '🤠', '👽', '🤍', '😦', '👹', '😼', '😻', '😽', '💩', '🤡', '💢', '👾', '🤖', '💨', '💤', '💌', '💣', '😺']",Smileys & Emotion
7,"['❤', '✍', '❣', '☺', '🕉', '🏼', '‼', '♂', '♥', '➡', '☝', '🏻', '🏿', '®', '✌', '♀', '🗣', '🛏', '☹', '⁉', '☑', '〰', '🖋', '🗓', '🕵', '✔', '🏽', '☀', '☄', '🕸', '⚰', '⚖', '✒', '🏾', '🗡', '❇', '⚜', '✈', '🕊', '🖼', '🌶', '↔', '👁', '🦰', '☘', '🏵', '⛸', '▶', '⚔', '↪', '🏎', '🅾', '©', '✉', '⬇', '◻', '❄', '🅱', '☸', '🌪', '♨', '🌩', '↕', '☦', '⚠', '☪', '🏋', '⚕', '♠', '🏳', '⤵', '▪', '♣', '🏝', '✖', '🎙', '🍽', '🖐', '◼', '🏖', '☠', '⏱', '⛩', '↘', '☁', '🏌', '🛠', '🎞', '🕶', '☢', '✝', '🛰', '☣', '🌬', '🌧', '⏲', '♻', '🖊', '☮', '✂', '🎟', '🛡', '🕯', '🛎', '⛷', '⛹', '🅰', '✳', '⤴', '🗨', '🌤', '🏘', '🗞', '♦', '🖌', '🅿', '🕰', '🗯', '♾', '↙', '🕴', '✴', '🕳', '🌦', '☎', '🎗', '📽', '🛩', '🏞', '🌥', '🏜']",Unknown
9,"['🔥', '🌊', '🚙', '🌞', '🎡', '🦽', '🪐', '🌍', '🌄', '🌃', '🌠', '🌎', '🚜', '⛵', '🏠', '🌀', '🌟', '🚓', '🪂', '🏡', '🌚', '🚥', '⏰', '🌝', '⌛', '🏩', '🌐', '🚦', '⚓', '🚀', '🌏', '🌛', '🌙', '🏥', '🏣', '🌜', '🚛', '⛅', '🌘', '⭐', '🚘', '🕋', '🛕', '🛑', '🕛', '🌈', '🎪', '🌑', '🌕', '🏪', '💧', '⏳', '🌉', '🌅', '🛖', '⚡', '🚲', '🌇', '🚂', '⌚', '🚨', '🚆', '🌁', '⛽', '🚑', '⛄', '🌌', '💒', '💈', '🚒', '🚔', '🚉', '🌒', '🏭', '🏢', '🏰', '🚗', '🚧', '🌆', '🗻', '🛬', '🧭', '🕌', '🏯', '💺', '🎢', '🌂', '🏫']",Travel & Places
2,"['🌿', '🌹', '🌺', '💐', '🪴', '🐖', '🐃', '🍁', '🐷', '🌸', '🌼', '🌷', '🌻', '🦇', '🦠', '🍃', '🥀', '🐐', '🐂', '🍀', '🐕', '🌴', '🐴', '🌳', '🦁', '🐩', '🦋', '🦅', '🐤', '🌱', '🐘', '🌲', '🐀', '🐒', '🐵', '🦄', '🐶', '🐗', '🐢', '🌾', '🐥', '🐣', '🐫', '🐎', '🐹', '🐅', '🐦', '🐍', '🍂', '🐆', '🐝', '🐈', '🐚', '🦜', '🦎', '🐳', '🐺', '🐙', '🦔', '🐸', '🌵', '💮', '🦮', '🦌', '🐁', '🐬', '🐟', '🐾', '🦉', '🦚', '🐲', '🐡', '🐧', '🦍', '🐊', '🐻', '🦧']",Animals & Nature
3,"['❓', '🔙', '♏', '🆔', '🟤', '✅', '🆗', '❗', '🔱', '🔄', '❌', '🔴', '🔃', '🔺', '➕', '❔', '🆓', '⏬', '💠', '⭕', '📶', '🔘', '🆘', '🚯', '🔹', '🚻', '🔡', '🔸', '🔰', '💲', '🚫', '🟩', '⛔', '🔁', '🔅', '🟪', '🔂', '🔜', '🔷', '🔆', '➿', '❎', '🔛', '🎦', '🟦', '🆑', '➗', '🚷', '💱', '⚫', '◾', '🔟', '🟣', '🔝', '🔵', '🚰', '🔢', '♑']",Symbols
6,"['🚩', '🏴']",Flags
5,"['✨', '🎲', '🏆', '⛳', '🎊', '🏏', '🎯', '🎋', '🎉', '🎈', '⚽', '🧩', '🎰', '🎭', '🎀', '🎍', '🧸', '🃏', '🏓', '🎆', '🎇', '🏅', '🏈', '🎁', '🥋', '🎄', '🧿', '🎿', '🎮', '🎨']",Activities
4,"['📲', '🪔', '👞', '👑', '💸', '🎧', '🎶', '📢', '📣', '💉', '📱', '📯', '🎼', '📌', '🎥', '💰', '🔔', '📡', '📒', '🎵', '💊', '👙', '📿', '💡', '🏹', '🎤', '💎', '📞', '📺', '🧴', '📰', '👒', '👢', '🔫', '🚿', '💼', '🎷', '🩸', '📆', '📍', '🔒', '🔊', '📕', '👡', '💵', '📈', '📚', '📗', '🎺', '📝', '📸', '👓', '🧯', '🔉', '🎬', '📖', '🔗', '👔', '👟', '🎓', '📻', '🧺', '🔨', '📑', '🩲', '🎻', '🔕', '🧻', '📅', '💴', '📨', '📘', '👗', '📜', '📄', '💻', '🎒', '🎸', '🔦', '🔇', '📙', '🎩', '🦺', '🚪', '💍', '🎹', '🩴', '🗿', '👕', '🧪', '🔧', '🪑', '🩺', '📷', '🪤', '📹']",Objects
8,"['🥕', '🍌', '🥛', '🍛', '🎂', '🥃', '🍖', '🍫', '🍒', '☕', '🍰', '🍺', '🍧', '🍗', '🍑', '🍬', '🥒', '🍷', '🥚', '🍠', '🥭', '🍔', '🍻', '🍪', '🫑', '🔪', '🥂', '🍉', '🦀', '🍓', '🍼', '🍎', '🍇', '🥥', '🥄', '🥦', '🍏', '🌽', '🥜', '🍾', '🍵', '🍆', '🧀', '🍲', '🍸', '🍋', '🍨', '🍹', '🫖', '🍟', '🍭', '🍩', '🥬', '🥔', '🥙', '🏺', '🌭', '🧊', '🥗', '🍮', '🥢']",Food & Drink
